prompt,classname,classidx
a photo of a Faces.,Faces,0
a photo of a Faces_easy.,Faces_easy,1
a photo of a Leopards.,Leopards,2
a photo of a Motorbikes.,Motorbikes,3
a photo of a accordion.,accordion,4
a photo of a airplanes.,airplanes,5
a photo of a anchor.,anchor,6
a photo of a ant.,ant,7
a photo of a barrel.,barrel,8
a photo of a bass.,bass,9
a photo of a beaver.,beaver,10
a photo of a binocular.,binocular,11
a photo of a bonsai.,bonsai,12
a photo of a brain.,brain,13
a photo of a brontosaurus.,brontosaurus,14
a photo of a buddha.,buddha,15
a photo of a butterfly.,butterfly,16
a photo of a camera.,camera,17
a photo of a cannon.,cannon,18
a photo of a car_side.,car_side,19
a photo of a ceiling_fan.,ceiling_fan,20
a photo of a cellphone.,cellphone,21
a photo of a chair.,chair,22
a photo of a chandelier.,chandelier,23
a photo of a cougar_body.,cougar_body,24
a photo of a cougar_face.,cougar_face,25
a photo of a crab.,crab,26
a photo of a crayfish.,crayfish,27
a photo of a crocodile.,crocodile,28
a photo of a crocodile_head.,crocodile_head,29
a photo of a cup.,cup,30
a photo of a dalmatian.,dalmatian,31
a photo of a dollar_bill.,dollar_bill,32
a photo of a dolphin.,dolphin,33
a photo of a dragonfly.,dragonfly,34
a photo of a electric_guitar.,electric_guitar,35
a photo of a elephant.,elephant,36
a photo of a emu.,emu,37
a photo of a euphonium.,euphonium,38
a photo of a ewer.,ewer,39
a photo of a ferry.,ferry,40
a photo of a flamingo.,flamingo,41
a photo of a flamingo_head.,flamingo_head,42
a photo of a garfield.,garfield,43
a photo of a gerenuk.,gerenuk,44
a photo of a gramophone.,gramophone,45
a photo of a grand_piano.,grand_piano,46
a photo of a hawksbill.,hawksbill,47
a photo of a headphone.,headphone,48
a photo of a hedgehog.,hedgehog,49
a photo of a helicopter.,helicopter,50
a photo of a ibis.,ibis,51
a photo of a inline_skate.,inline_skate,52
a photo of a joshua_tree.,joshua_tree,53
a photo of a kangaroo.,kangaroo,54
a photo of a ketch.,ketch,55
a photo of a lamp.,lamp,56
a photo of a laptop.,laptop,57
a photo of a llama.,llama,58
a photo of a lobster.,lobster,59
a photo of a lotus.,lotus,60
a photo of a mandolin.,mandolin,61
a photo of a mayfly.,mayfly,62
a photo of a menorah.,menorah,63
a photo of a metronome.,metronome,64
a photo of a minaret.,minaret,65
a photo of a nautilus.,nautilus,66
a photo of a octopus.,octopus,67
a photo of a okapi.,okapi,68
a photo of a pagoda.,pagoda,69
a photo of a panda.,panda,70
a photo of a pigeon.,pigeon,71
a photo of a pizza.,pizza,72
a photo of a platypus.,platypus,73
a photo of a pyramid.,pyramid,74
a photo of a revolver.,revolver,75
a photo of a rhino.,rhino,76
a photo of a rooster.,rooster,77
a photo of a saxophone.,saxophone,78
a photo of a schooner.,schooner,79
a photo of a scissors.,scissors,80
a photo of a scorpion.,scorpion,81
a photo of a sea_horse.,sea_horse,82
a photo of a snoopy.,snoopy,83
a photo of a soccer_ball.,soccer_ball,84
a photo of a stapler.,stapler,85
a photo of a starfish.,starfish,86
a photo of a stegosaurus.,stegosaurus,87
a photo of a stop_sign.,stop_sign,88
a photo of a strawberry.,strawberry,89
a photo of a sunflower.,sunflower,90
a photo of a tick.,tick,91
a photo of a trilobite.,trilobite,92
a photo of a umbrella.,umbrella,93
a photo of a watch.,watch,94
a photo of a water_lilly.,water_lilly,95
a photo of a wheelchair.,wheelchair,96
a photo of a wild_cat.,wild_cat,97
a photo of a windsor_chair.,windsor_chair,98
a photo of a wrench.,wrench,99
a photo of a yin_yang.,yin_yang,100
